USE,FILE NAME,USETEST,MOVE,AVAILABLE,DURATION,CHANNEL,NOTES,SCALE,FEELING,ROOM / DEVICE,STAGE,MOTION,LIGHT,COLOR,O,P,Q,R,S,T,U,V,w
Y,Cleanroom_01.mov,,,UPLOADED,2:00:03,ALICE,Clean room cleaning bottle,human,caring,Diamond Acid,Prep,Still,Light,,,,,,Cine,MILD,,,
Y,Cleanroom_02.mov,,,UPLOADED,1:08:00,ALICE,boiling dimaond,human,caring,Diamond Acid,Prep,Still,Light,,,,,,Cine,MILD,,,
Y,Cleanroom_03.mov,,,UPLOADED,0:30:16,ALICE,Clean room puring acid shaky hand,human,caring,Diamond Acid,Prep,Still,,,,,,,Cine,MILD,,,
Y,Cleanroom_04.mov,,,UPLOADED,0:30:12,ALICE,Clean room close up puring acid shaky hand,human,caring,Diamond Acid,Prep,Still,,,,,,,Cine,MILD,,,
Y,Cleanroom_05.mov,,,UPLOADED,1:23:00,ALICE,clenn room placing diamond in acid,human,caring,Diamond Acid,Prep,Still,,,,,,,Cine,MILD,,,
Y,Cleanroom_06.mov,,,UPLOADED,0:15:00,ALICE,Clean room two small jars hands move them,human,caring,Diamond Acid,Prep,Still,,,,,,,Cine,MILD,,,
Y,Cleanroom_07.mov,,,UPLOADED,0:43:13,ALICE,clean room cleaning small jars,human,caring,Diamond Acid,Prep,Focus,,,stabilized,,,,Cine,MILD,,,
Y,Cleanroom_08.mov,,,UPLOADED,2:31:00,ALICE,clean room cleaning small jars,human,caring,Diamond Acid,Prep,Focus,,,stabilized,,,,Cine,MILD,,,
Y,Cleanroom_09.mov,,,UPLOADED,0:43:13,ALICE,,,caring,,,,,,,,,,,,,,
Y,Cleanroom_10.mov,,,UPLOADED,0:29:20,ALICE,scientists en el lab clean lab de espalda,landscape,caring,Diamond Acid,Prep,Still,,-,ALTA,,,,,MILD,,,
Y,A004_04290959_C007-8.mov,,,UPLOADED,0:00:10,ALICE,diamond throu mirror,,caring,,,,,,,,,,,,,,
Y,Cleanroom_12.mov,,,UPLOADED,0:42:07,ALICE,diamond throu mirror,landscape,caring,Growth,Prep,Still,Light,,,,,,Cine,MILD,,,
Y,Cleanroom_13.mov,,,UPLOADED,0:32:15,ALICE,takashi computer,graphic,caring,Diamond micro,Prep,Panning,,,,,,,,MILD,,,
Y,Cleanroom_14.mov,,,UPLOADED,,ALICE,,,caring,,,,,,,,,,,,,,
Y,Cleanroom_15.mov,,,UPLOADED,,ALICE,,,caring,,,,,,,,,,,,,,
